Recency,Frequency,Time,Target
2,6,22,1
16,7,28,0
21,1,21,0
11,10,35,0
16,3,19,0
14,13,57,0
2,1,2,1
14,2,14,1
14,4,30,0
4,1,4,0
2,5,26,0
23,3,39,0
4,1,4,1
17,7,58,1
4,11,95,0
4,9,46,0
4,12,34,1
4,8,26,1
12,12,58,0
16,2,26,0
11,3,16,1
21,1,21,0
16,4,58,0
16,4,28,0
11,8,46,0
12,13,59,0
4,5,35,1
2,4,16,0
4,6,46,0
0,13,28,1
2,12,98,0
23,12,86,0
11,5,50,0
4,4,41,0
11,3,26,0
23,1,23,0
11,7,29,0
11,11,38,0
11,1,11,0
5,6,28,0
2,44,98,0
16,5,60,0
4,10,28,1
16,1,16,0
4,9,28,1
3,1,3,1
14,1,14,0
21,3,70,0
16,3,23,0
4,19,69,1
2,8,35,1
2,1,2,0
4,1,4,0
4,8,40,1
23,1,23,0
2,8,28,1
4,9,38,1
8,9,64,0
14,5,14,0
5,11,75,0
2,2,11,0
2,4,16,0
2,4,35,0
11,5,35,0
4,23,58,0
2,2,11,0
11,3,23,0
4,6,23,1
4,8,28,0
2,11,46,0
14,1,14,0
11,14,73,1
4,1,4,0
4,1,4,0
14,5,28,0
2,1,2,0
25,6,50,0
2,1,2,0
2,11,88,0
3,6,21,0
9,8,38,1
16,10,89,0
4,5,14,1
14,4,38,0
4,1,4,0
4,2,4,1
14,3,35,0
11,11,42,0
2,1,2,0
4,1,4,0
14,18,78,0
16,7,87,1
7,10,47,0
4,5,16,1
20,14,69,1
23,38,98,0
23,5,33,0
21,2,41,0
4,6,39,0
4,2,59,0
11,1,11,0
2,12,82,0
10,5,38,0
4,5,34,0
14,1,14,0
14,1,14,0
2,1,2,0
8,8,52,1
9,5,19,0
9,1,9,0
21,1,21,0
16,4,28,0
16,1,16,0
2,6,15,1
4,16,98,1
2,6,28,0
2,14,57,1
2,4,70,0
23,1,23,0
4,3,16,1
23,2,26,0
14,2,14,0
21,2,21,1
4,3,25,1
4,5,16,1
18,2,23,0
4,2,4,0
2,3,77,0
2,6,47,0
4,6,14,0
4,2,13,0
7,5,35,0
2,7,77,0
2,1,2,0
1,24,77,0
4,4,4,1
14,2,16,0
2,6,26,1
15,5,33,0
40,1,40,0
21,3,35,0
2,7,76,0
7,2,16,0
2,43,86,1
2,7,35,1
21,6,86,0
16,8,28,0
2,1,2,0
16,3,34,0
2,5,37,0
11,4,28,0
11,9,38,0
4,9,28,0
14,3,83,0
4,5,23,1
4,13,39,1
13,7,76,0
11,3,76,0
16,6,40,0
21,1,21,0
13,4,21,0
16,1,16,0
2,4,43,0
2,5,26,0
21,13,57,0
2,6,28,1
3,21,42,1
4,3,28,0
23,1,23,0
21,3,64,0
2,6,16,1
2,12,70,1
4,1,4,1
16,2,16,0
8,15,77,0
7,5,52,0
2,9,75,0
2,2,23,0
16,1,16,0
16,11,40,0
2,1,2,0
2,1,2,0
4,2,52,0
4,11,78,0
11,2,16,0
11,5,38,0
4,2,4,1
16,3,46,0
4,1,4,0
16,6,35,0
2,2,4,0
2,3,24,0
23,14,93,0
23,8,64,0
2,14,48,1
2,4,26,0
2,16,64,0
16,4,40,0
4,6,28,1
2,11,41,1
2,1,2,0
4,7,82,0
1,16,35,1
2,2,22,0
11,12,58,0
21,2,25,0
2,2,16,0
14,2,35,0
14,1,14,0
11,1,11,0
21,2,21,0
14,3,52,0
14,2,14,0
3,17,86,0
14,1,14,0
11,3,14,0
11,5,35,0
6,2,11,1
23,1,23,0
3,16,74,0
2,5,11,1
2,3,22,0
11,1,11,0
16,2,16,0
11,1,11,0
2,15,49,1
35,3,64,0
4,1,4,0
2,4,14,1
2,11,23,0
2,4,16,1
16,3,21,1
11,1,11,1
4,8,21,0
2,9,36,0
23,2,87,0
4,7,28,0
8,9,58,0
2,2,14,0
4,2,4,0
21,3,38,0
23,4,53,0
4,6,35,1
3,8,50,0
9,11,49,1
4,7,52,0
11,22,98,0
3,2,23,0
4,1,4,0
4,4,46,0
16,1,16,0
9,2,52,0
2,6,16,1
9,5,51,1
21,2,23,0
15,16,82,0
4,4,34,1
2,10,49,0
23,8,69,0
4,7,25,0
4,1,4,0
2,5,63,0
4,2,31,0
14,7,45,0
21,2,26,0
2,2,10,0
11,8,52,1
2,3,21,0
11,2,11,0
2,3,35,0
4,6,38,1
16,15,87,0
2,16,81,0
3,5,38,0
11,9,72,1
21,1,21,1
7,9,89,1
2,1,2,1
72,1,72,0
9,9,45,0
16,5,27,0
23,3,40,0
2,1,2,0
2,2,10,1
14,3,41,0
2,2,2,0
21,2,52,0
2,1,2,1
13,3,14,1
2,3,38,1
4,3,71,0
13,8,26,0
14,7,47,0
14,5,28,1
14,2,14,0
16,1,16,0
4,11,61,0
4,12,88,0
2,50,98,1
4,2,4,1
11,2,24,0
11,6,41,0
4,6,43,0
3,4,29,1
9,2,52,0
14,4,40,0
23,2,38,0
1,14,95,0
2,1,2,0
4,1,4,0
74,1,74,0
14,4,22,1
4,6,35,0
14,4,64,0
4,3,34,0
14,1,14,0
11,3,37,0
11,2,21,0
14,3,26,0
23,7,88,0
23,1,23,0
2,2,4,1
2,5,47,1
21,2,35,0
14,4,57,0
21,5,60,0
23,5,58,0
16,2,27,0
4,1,4,0
2,12,47,1
11,1,11,0
11,1,11,0
21,1,21,0
14,2,29,0
4,1,4,1
14,3,79,0
2,3,4,1
11,6,58,0
21,1,21,0
2,2,4,0
39,1,39,0
11,6,71,0
2,1,2,0
4,1,4,1
4,4,26,0
4,3,24,0
16,8,76,0
4,2,14,0
2,4,16,0
2,21,52,1
2,4,14,0
4,8,46,1
2,6,35,1
10,8,39,0
9,3,34,0
2,2,4,0
